"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1003","3.7897152825416403E-1","4.5191800244143837E-20","-3.1244329678827017E-22","2.6119302326483823E-11","1.2092466071873804E+0","1.7244266657647503E-21","3.7726140482552601E+0","6.3033658264674441E+0","2.7940638542506164E+1","1.0000000059938701E+0","1.215058560962404E-2"
"1002","3.7880688557591541E-1","4.5188552202672406E-20","-2.0166102049709618E-22","3.4351054458847572E-11","1.2100699044587853E+0","1.3438122141731543E-21","3.7726139430813199E+0","6.3033287281787924E+0","2.7940474098635654E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1001","3.7858736963743189E-1","4.5189998130505174E-20","3.2981086340799662E-22","2.8446387803820345E-11","1.2111680505190847E+0","-9.1412260345055602E-22","3.7726134750675300E+0","6.3032792700733919E+0","2.7940254867976350E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1000","3.7836786250024818E-1","4.5189522615869644E-20","-5.9465579495531256E-22","1.5685288198028221E-11","1.2122666727388252E+0","4.2411133956200575E-21","3.7726126324156199E+0","6.3032298192609391E+0","2.7940035669644153E+1","1.0000000001222100E+0","1.215058560962404E-2"
"999","3.7814836425003540E-1","4.5199371344175778E-20","-8.1281519806841598E-23","3.3278719700251703E-11","1.2133657714600814E+0","4.8395073567443739E-22","3.7726114150925101E+0","6.3031803758719658E+0","2.7939816504217671E+1","1.0000000000000000E+0","1.215058560962404E-2"
"998","3.7792887497235639E-1","4.5217756201092501E-20","-3.5867774337030582E-22","2.9569052829081141E-11","1.2144653470257576E+0","-5.3429071613113199E-22","3.7726098230657401E+0","6.3031309400324229E+0","2.7939597372255204E+1","1.0000000000000000E+0","1.215058560962404E-2"
"997","3.7770939475288784E-1","4.5191900075311887E-20","-6.5435604367172959E-22","2.7484039563545411E-11","1.2155653997786879E+0","3.5196280384578901E-21","3.7726078563029701E+0","6.3030815118717189E+0","2.7939378274330370E+1","1.0000000000000000E+0","1.215058560962404E-2"
"996","3.8045352702372448E-1","4.5178192550499528E-20","-5.4261541183048327E-23","2.4784136458532545E-11","1.2018489521083444E+0","2.1234993793708653E-21","3.7726055149817501E+0","6.3036998836008760E+0","2.7942119302131221E+1","1.0000002064238200E+0","1.215058560962404E-2"
"995","3.8067311432105250E-1","4.5157702504348722E-20","-7.2819615442614213E-22","2.8504254677535554E-11","1.2007548396224330E+0","4.1450908091000930E-21","3.7726027999371099E+0","6.3037493985645892E+0","2.7942338784823740E+1","1.0000002014762599E+0","1.215058560962404E-2"
"994","3.8089270960783328E-1","4.5171680762256494E-20","-1.7221142683361895E-22","6.6123567836968302E-11","1.1996612000583633E+0","8.3802077802382141E-22","3.7725997105802400E+0","6.3037989196172495E+0","2.7942558294506462E+1","1.0000001906433300E+0","1.215058560962404E-2"
"993","3.8111231279847291E-1","4.5166466790666012E-20","5.6931972662367219E-24","-3.2392546107585153E-11","1.1985680330778135E+0","-7.1135548766028343E-23","3.7725962469479901E+0","6.3038484466249356E+0","2.7942777830585747E+1","1.0000001752297800E+0","1.215058560962404E-2"
"992","3.8133192380808406E-1","4.5179381381858641E-20","-4.4619502563914511E-22","5.3603382935020454E-11","1.1974753383404959E+0","1.8025359599861218E-21","3.7725924090747598E+0","6.3038979794758472E+0","2.7942997392566031E+1","1.0000001557506799E+0","1.215058560962404E-2"
"991","3.8155154255100049E-1","4.5194266248545570E-20","-3.3863460350457660E-22","6.2535802770746349E-11","1.1963831155090998E+0","1.5444790829973709E-21","3.7725881969984298E+0","6.3039475180316584E+0","2.7943216979834158E+1","1.0000001338934501E+0","1.215058560962404E-2"
"990","3.8177116894193730E-1","4.5168923252238005E-20","5.0737311104037859E-22","-7.8201105963387332E-12","1.1952913642454115E+0","-2.4649249774543014E-22","3.7725836107557802E+0","6.3039970621664789E+0","2.7943436591832100E+1","1.0000001106496299E+0","1.215058560962404E-2"
"989","3.8199080289606296E-1","4.5181518305659668E-20","1.0304794982715665E-22","5.8561087581528653E-11","1.1942000842102121E+0","-7.9977076157926032E-22","3.7725786503818899E+0","6.3040466117684355E+0","2.7943656228063968E+1","1.0000000870395700E+0","1.215058560962404E-2"
"988","3.8221044432771323E-1","4.5196512323581626E-20","1.5481906715842835E-22","-1.4158268094662971E-11","1.1931092750672505E+0","-9.2212665817244404E-22","3.7725733159159600E+0","6.3040961666979998E+0","2.7943875887911272E+1","1.0000000640793900E+0","1.215058560962404E-2"
"987","3.8243009315190934E-1","4.5190618580518342E-20","-1.3483805288389481E-23","1.0191409140438009E-10","1.1920189364785068E+0","-1.0008744029405232E-21","3.7725676073945702E+0","6.3041457268373700E+0","2.7944095570851847E+1","1.0000000430195299E+0","1.215058560962404E-2"
"986","3.8264974928297552E-1","4.5185845361953949E-20","-6.8193876719582590E-22","1.1215463236860323E-10","1.1909290681085161E+0","4.1404888814039284E-21","3.7725615248577502E+0","6.3041952920451987E+0","2.7944315276259140E+1","1.0000000250175001E+0","1.215058560962404E-2"
"985","3.8286941263622198E-1","4.5184052720846777E-20","-3.4464771726340938E-22","7.9797891337506856E-11","1.1898396696191877E+0","1.2673033725303637E-21","3.7725550683413802E+0","6.3042448622118732E+0","2.7944535003647275E+1","1.0000000111236200E+0","1.215058560962404E-2"
"984","3.8308908312739459E-1","4.5180978684588042E-20","3.2275363152731789E-22","6.7692876836923023E-10","1.1887507406715343E+0","-2.6712517494590716E-21","3.7725482378796502E+0","6.3042944372413832E+0","2.7944754752590686E+1","1.0000000024358200E+0","1.215058560962404E-2"
"983","3.8330876066215247E-1","4.5190893905837454E-20","1.9757828133761332E-22","-8.9301729936950277E-9","1.1876622809549724E+0","-1.3098539471472288E-21","3.7725410335596199E+0","6.3043440166817586E+0","2.7944974521085932E+1","1.0000000003988501E+0","1.215058560962404E-2"
"982","3.8352844518146534E-1","4.5177510674289112E-20","-2.2845900632860422E-22","-4.0864185647048749E-10","1.1865742900605549E+0","7.9433408958590175E-22","3.7725334552865801E+0","6.3043936013112569E+0","2.7945194312582764E+1","1.0000000052198399E+0","1.215058560962404E-2"
"981","3.8374813657123080E-1","4.5173067940831118E-20","-3.0129945871420296E-22","-3.5460563298725354E-10","1.1854867677365173E+0","4.8586658238948963E-22","3.7725255032435800E+0","6.3044431900335969E+0","2.7945414122221745E+1","1.0000000189067799E+0","1.215058560962404E-2"
"980","3.8396783475887791E-1","4.5181039281833709E-20","-5.0022243136477988E-22","-1.6505882244822242E-10","1.1843997136110749E+0","2.0742919064545156E-21","3.7725171774100201E+0","6.3044927831303017E+0","2.7945633951250773E+1","1.0000000422852999E+0","1.215058560962404E-2"
"979","3.8418753965792196E-1","4.5173114571853496E-20","6.9541185891649852E-23","-1.7100534882360674E-10","1.1833131273536985E+0","-1.0820396624767280E-21","3.7725084778327198E+0","6.3045423804302683E+0","2.7945853798911401E+1","1.0000000763971300E+0","1.215058560962404E-2"
"978","3.8440725118383573E-1","4.5188506298698501E-20","-2.3397824687682023E-22","-5.5805995029378238E-11","1.1822270086285449E+0","1.3281502040023900E-21","3.7724994045493601E+0","6.3045919818249079E+0","2.7946073664722299E+1","1.0000001225211099E+0","1.215058560962404E-2"
"977","3.8462696925122142E-1","4.5182728276720052E-20","4.5575686863708374E-23","-5.6066407713751681E-11","1.1811413571026428E+0","-1.9600871822863891E-21","3.7724899576022999E+0","6.3046415871773442E+0","2.7946293548076742E+1","1.0000001815141000E+0","1.215058560962404E-2"
"976","3.8484669377544428E-1","4.5195311115313074E-20","-9.5571476029209294E-22","-4.9354505216720415E-11","1.1800561724412058E+0","3.5621987884265992E-21","3.7724801370305499E+0","6.3046911963742849E+0","2.7946513448472544E+1","1.0000002546954101E+0","1.215058560962404E-2"
"975","3.8506642467141949E-1","4.5204762337824328E-20","-7.0532870110385563E-22","-6.5350573506625378E-11","1.1789714543111298E+0","4.0098242719818381E-21","3.7724699428756798E+0","6.3047408092878721E+0","2.7946733365342947E+1","1.0000003431316100E+0","1.215058560962404E-2"
"974","3.8528616185424031E-1","4.5238752069009026E-20","-5.8473616855426469E-22","-7.4408971974455285E-11","1.1778872023791813E+0","3.5927467012539020E-21","3.7724593751787499E+0","6.3047904257951091E+0","2.7946953298142756E+1","1.0000004479175999E+0","1.215058560962404E-2"
"973","3.8550590523904138E-1","4.5241722711056971E-20","5.5071230316574936E-22","-4.8423626322937216E-11","1.1768034163123717E+0","-4.8502527489775414E-21","3.7724484339810398E+0","6.3048400457737985E+0","2.7947173246330316E+1","1.0000005700917201E+0","1.215058560962404E-2"
