"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1073","9.7444655348213327E-1","8.2722859163311259E-22","-2.0241660072854544E-33","2.3550970991734615E-13","1.3400362965145050E+0","-5.3628723007677824E-31","2.9695205195812902E+0","2.2610105711566291E+1","1.0022277121249847E+2","1.3358997649142901E+2","1.215058560962404E-2"
"1072","9.7436874830047737E-1","8.2719681421001272E-22","5.1236492674481825E-34","1.9589866993023754E-13","1.3362073180303249E+0","1.6705862403151766E-31","2.9693094058771701E+0","2.2609332568985966E+1","1.0021934413909462E+2","1.3389699917810901E+2","1.215058560962404E-2"
"1071","9.7423774103273675E-1","8.2722133602481762E-22","-2.6724188156692984E-33","2.4284674720364572E-13","1.3298360797880944E+0","-5.9285841292761519E-31","2.9689561004663800E+0","2.2608057726826083E+1","1.0021369320513826E+2","1.3440790450469200E+2","1.215058560962404E-2"
"1070","9.7410504962829003E-1","8.2718779340455645E-22","3.0662035457230106E-34","1.5753268730407328E-13","1.3234780648692532E+0","6.1744486469031803E-32","2.9686009691506001E+0","2.2606800195288919E+1","1.0020811900317966E+2","1.3491975509567800E+2","1.215058560962404E-2"
"1069","9.7397065171112363E-1","8.2716881976970169E-22","-6.5583254289473991E-34","1.7573457885956043E-13","1.3171335410679121E+0","-1.3665676661642680E-31","2.9682439953820299E+0","2.2605560150598524E+1","1.0020262231435900E+2","1.3543245930959401E+2","1.215058560962404E-2"
"1068","9.7383452463216535E-1","8.2714732265973533E-22","-2.1572525389496768E-34","1.7614432839561132E-13","1.3108027755158422E+0","-3.0554953799341949E-32","2.9678851626379101E+0","2.2604337772984923E+1","1.0019720393757359E+2","1.3594495226920299E+2","1.215058560962404E-2"
"1067","9.7369664546804835E-1","8.2713624744338950E-22","-1.1777160351453416E-33","2.5618772945767616E-13","1.3044860346976572E+0","-9.5245511230178602E-32","2.9675244544247699E+0","2.2603133246699866E+1","1.0019186468954766E+2","1.3645807433865801E+2","1.215058560962404E-2"
"1066","9.7355699102000171E-1","8.2716223401316161E-22","-9.1447068743441372E-34","2.2140817955014255E-13","1.2981835844669913E+0","-1.6245896165652408E-31","2.9671618542832001E+0","2.2601946760030955E+1","1.0018660540489495E+2","1.3697096433150500E+2","1.215058560962404E-2"
"1065","9.7341553781279211E-1","8.2717889261021839E-22","-8.1380943275365492E-36","2.8093742663280156E-13","1.2918956900599365E+0","-1.2703050231822099E-32","2.9667973457928500E+0","2.2600778505317432E+1","1.0018142693618873E+2","1.3748439256018500E+2","1.215058560962404E-2"
"1064","9.7327226209377860E-1","8.2719680311654245E-22","2.3077892842518560E-35","3.1504409029798949E-13","1.2856226161086817E+0","-9.0725594391944808E-32","2.9664309125771999E+0","2.2599628678961999E+1","1.0017633015401422E+2","1.3799763756632501E+2","1.215058560962404E-2"
