Id,x0 (LU),y0 (LU),z0 (LU),vx0 (LU/TU),vy0 (LU/TU),vz0 (LU/TU),Jacobi constant (LU2/TU2),Period (TU),Stability index,Mass ratio
0,0.863999983064794,0,0,0,-0.151510072478518,0,3.17473248301637,17.1072854527075,6.93711539213747,0.012150585609624
0,0.863877273213291,0,0,0,-0.151458676467291,0,3.17473248301637,17.1267357074307,10.2416194682426,0.012150585609624
0,0.8637717485264,0,0,0,-0.151450383460502,0,3.17473248301637,17.1447664790849,14.0045536260023,0.012150585609624
0,0.863679979371508,0,0,0,-0.151476358460196,0,3.17473248301637,17.1616533252191,18.2122018883313,0.012150585609624
0,0.863599533462718,0,0,0,-0.151530345564882,0,3.17473248301637,17.1775918202427,22.855576121891,0.012150585609624
0,0.863528611219438,0,0,0,-0.151607723855219,0,3.17473248301637,17.1927268029779,27.9287627383923,0.012150585609624
0,0.863465836623799,0,0,0,-0.151704966137183,0,3.17473248301637,17.2071691485931,33.4279481532957,0.012150585609624
0,0.863410129435512,0,0,0,-0.151819308392323,0,3.17473248301637,17.2210060143381,39.3508049121683,0.012150585609624
0,0.863360623126297,0,0,0,-0.151948537593372,0,3.17473248301637,17.2343074186378,45.696092760666,0.012150585609624
0,0.863316609983603,0,0,0,-0.152090849836943,0,3.17473248301637,17.2471306415659,52.4633800182314,0.012150585609624
0,0.863277503136801,0,0,0,-0.152244752256677,0,3.17473248301637,17.2595232684826,59.652850459841,0.012150585609624
0,0.863242809523061,0,0,0,-0.152408993230551,0,3.17473248301637,17.2715253567217,67.2651632363703,0.012150585609624
0,0.863212110173323,0,0,0,-0.1525825115126,0,3.17473248301637,17.2831710154952,75.3013516784695,0.012150585609624
0,0.863185045546591,0,0,0,-0.152764398406898,0,3.17473248301637,17.294489581299,83.7627366080095,0.012150585609624
0,0.86316130437391,0,0,0,-0.152953869016872,0,3.17473248301637,17.3055065118804,92.650876421965,0.012150585609624
0,0.863140615089687,0,0,0,-0.153150240167052,0,3.17473248301637,17.3162440730598,101.967508409416,0.012150585609624
0,0.863122739111087,0,0,0,-0.15335291310085,0,3.17473248301637,17.3267218774127,111.714536205787,0.012150585609624
0,0.863107465503025,0,0,0,-0.153561359756377,0,3.17473248301637,17.3369573117035,121.893941190773,0.012150585609624
0,0.863094606747104,0,0,0,-0.153775111876875,0,3.17473248301637,17.3469658765392,132.507845779944,0.012150585609624
0,0.86308399525116,0,0,0,-0.153993752049194,0,3.17473248301637,17.3567614657219,143.558420968217,0.012150585609624
0,0.86307548054723,0,0,0,-0.154216906500848,0,3.17473248301637,17.3663565913382,155.047903877936,0.012150585609624
0,0.863068926955298,0,0,0,-0.154444239104619,0,3.17473248301637,17.3757625710133,166.978579908397,0.012150585609624
0,0.863064211638167,0,0,0,-0.154675446390929,0,3.17473248301637,17.3849896839018,179.352762739398,0.012150585609624
0,0.863061222991147,0,0,0,-0.154910253416292,0,3.17473248301637,17.3940473000813,192.172797738508,0.012150585609624
0,0.863059859268692,0,0,0,-0.155148410246195,0,3.17473248301637,17.4029439908422,205.441052217893,0.012150585609624
0,0.863060027421569,0,0,0,-0.155389688978504,0,3.17473248301637,17.4116876219104,219.159900388701,0.012150585609624
0,0.863061642105876,0,0,0,-0.155633881208085,0,3.17473248301637,17.4202854332034,233.331769533637,0.012150585609624
0,0.87433608385052,0,0,0,-0.185788017081911,0,3.17473248301637,16.4873331161497,20.4784547835249,0.012150585609624
0,0.874478998959354,0,0,0,-0.186420383646648,0,3.17473248301637,16.4826274887243,20.7089053785064,0.012150585609624
0,0.874619668654155,0,0,0,-0.187046056138036,0,3.17473248301637,16.4780356831069,20.9389616248279,0.012150585609624
0,0.874758173395286,0,0,0,-0.187665248142667,0,3.17473248301637,16.4735524266318,21.1689308942632,0.012150585609624
0,0.874894588993225,0,0,0,-0.188278161526217,0,3.17473248301637,16.4691728179281,21.3990940162722,0.012150585609624
0,0.875028987034489,0,0,0,-0.188884987512768,0,3.17473248301637,16.464892292038,21.6297046001984,0.012150585609624
0,0.875161435236737,0,0,0,-0.189485907573154,0,3.17473248301637,16.4607065905492,21.8609941214812,0.012150585609624
0,0.875291997784756,0,0,0,-0.190081094275977,0,3.17473248301637,16.4566117340911,22.0931728916078,0.012150585609624
0,0.875420735613324,0,0,0,-0.190670711995248,0,3.17473248301637,16.4526039985891,22.3264330364868,0.012150585609624
0,0.875547706657579,0,0,0,-0.191254917534784,0,3.17473248301637,16.4486798941296,22.5609488005164,0.012150585609624
0,0.875672966095208,0,0,0,-0.191833860741764,0,3.17473248301637,16.4448361451736,22.7968781663052,0.012150585609624
0,0.875796566534255,0,0,0,-0.192407684966459,0,3.17473248301637,16.4410696741709,23.0343654592385,0.012150585609624
0,0.875918558204762,0,0,0,-0.192976527544538,0,3.17473248301637,16.437377585716,23.2735414691499,0.012150585609624
0,0.876038989117862,0,0,0,-0.193540520189414,0,3.17473248301637,16.4337571528965,23.514525868396,0.012150585609624
0,0.876157905223247,0,0,0,-0.194099789388354,0,3.17473248301637,16.4302058042752,23.7574260916558,0.012150585609624
0,0.876275350534062,0,0,0,-0.194654456706232,0,3.17473248301637,16.4267211129348,24.0023398417459,0.012150585609624
0,0.876391367251698,0,0,0,-0.195204639095886,0,3.17473248301637,16.4233007859656,24.2493558085506,0.012150585609624
0,0.876505995877963,0,0,0,-0.195750449175879,0,3.17473248301637,16.4199426549754,24.4985538792444,0.012150585609624
0,0.876619275316073,0,0,0,-0.196291995479476,0,3.17473248301637,16.4166446674692,24.750006234526,0.012150585609624
