"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1013","3.5939474649427323E+0","3.3925369755237091E-23","-4.2884227909656303E-23","-3.9381627964570391E-14","-3.1943894705191731E+0","-9.0235714629808527E-25","3.2695362049072001E+0","2.5178189776779593E+1","1.1160619882693335E+2","1.8668460140253500E+0","1.215058560962404E-2"
"1012","3.5943650602470352E+0","3.4804183290666884E-23","-2.5368025030288528E-23","3.6796311727953176E-15","-3.1948876570972491E+0","2.7691001966434579E-24","3.2692900261986702E+0","2.5178215311733858E+1","1.1160631201454565E+2","1.8681638564244201E+0","1.215058560962404E-2"
"1011","3.5961746280552980E+0","3.5475252449141286E-23","-2.3439131976429862E-23","2.7260053318176073E-14","-3.1970464107629590E+0","-1.9280873942220978E-25","3.2682219886090400E+0","2.5178325528238865E+1","1.1160680056615642E+2","1.8738850060237500E+0","1.215058560962404E-2"
"1010","3.5979841769554022E+0","3.2355815790566017E-23","5.4055653860900559E-23","2.9680736183191753E-14","-3.1992050760637420E+0","-8.8859244486686401E-26","3.2671518963032100E+0","2.5178435034960028E+1","1.1160728597154115E+2","1.8796231788722999E+0","1.215058560962404E-2"
"1009","3.5997937073952468E+0","2.8663040476463877E-23","-2.9606254482795166E-23","2.8993556737436718E-15","-3.2013636540006911E+0","1.1748215605148039E-24","3.2660797465244600E+0","2.5178543827932639E+1","1.1160776821312561E+2","1.8853783239233100E+0","1.215058560962404E-2"
"1008","3.6016032198132191E+0","2.5064979135018970E-23","1.0739165878072451E-23","-2.2088689589197351E-14","-3.2035221455651191E+0","-2.6400962305279664E-24","3.2650055365020298E+0","2.5178651903229735E+1","1.1160824727350298E+2","1.8911503898241699E+0","1.215058560962404E-2"
"1007","3.6034127146386630E+0","2.4817200976325047E-23","1.2321428549840853E-23","1.0372455413910540E-14","-3.2056805517392557E+0","-4.3371287115418592E-24","3.2639292634499699E+0","2.5178759256960493E+1","1.1160872313542659E+2","1.8969393249525801E+0","1.215058560962404E-2"
"1006","3.6052221922918077E+0","2.5595434956169229E-23","1.6090829333586262E-23","-6.0712420019206018E-15","-3.2078388734961623E+0","-2.7875916077888317E-24","3.2628509245672199E+0","2.5178865885271041E+1","1.1160919578181351E+2","1.9027450774329000E+0","1.215058560962404E-2"
"1005","3.6070316531834026E+0","2.5395516139693293E-23","7.7268157143313098E-24","5.9483769824010540E-16","-3.2099971117993316E+0","-4.3809942913046216E-24","3.2617705170376401E+0","2.5178971784344611E+1","1.1160966519574538E+2","1.9085675950554200E+0","1.215058560962404E-2"
"1004","3.6088410977149881E+0","2.4704732788226344E-23","-1.4117474401239172E-23","-1.5081704440200882E-14","-3.2121552676029479E+0","-2.5002625608088432E-25","3.2606880380302701E+0","2.5179076950401335E+1","1.1161013136046734E+2","1.9144068253553299E+0","1.215058560962404E-2"
"1003","3.6106505262786128E+0","2.3096998461985296E-23","1.6046940618012263E-24","-3.7280321631929201E-14","-3.2143133418515757E+0","5.7001039729364848E-24","3.2596034846993400E+0","2.5179181379698644E+1","1.1161059425938987E+2","1.9202627156860099E+0","1.215058560962404E-2"
"1002","3.6124599392569747E+0","2.1242531542605977E-23","-2.3023548243297758E-23","1.7312176935246653E-14","-3.2164713354803327E+0","5.9592267628417714E-24","3.2585168541841898E+0","2.5179285068531019E+1","1.1161105387608768E+2","1.9261352130121601E+0","1.215058560962404E-2"
"1001","3.6142693370235901E+0","2.0076461168834822E-23","1.8135559534739645E-24","-1.8690490521807855E-14","-3.2186292494150734E+0","-2.1294579430344865E-24","3.2574281436093200E+0","2.5179388013229488E+1","1.1161151019429749E+2","1.9320242640605900E+0","1.215058560962404E-2"
"1000","3.6160787199420779E+0","1.8023255335793060E-23","1.7587468299293017E-23","2.8631878160937769E-14","-3.2207870845715934E+0","-4.8732325645841686E-24","3.2563373500844799E+0","2.5179490210163355E+1","1.1161196319792570E+2","1.9379298152888400E+0","1.215058560962404E-2"
"999","3.6178880883667630E+0","1.8892060110885132E-23","5.4285734856758163E-24","-2.2470985427856405E-14","-3.2229448418561462E+0","-4.4854364955496666E-25","3.2552444707056201E+0","2.5179591655738658E+1","1.1161241287104151E+2","1.9438518129061999E+0","1.215058560962404E-2"
"998","3.6196974426424648E+0","1.8196128528880081E-23","3.3066240296678211E-23","1.9742213836873042E-14","-3.2251025221655554E+0","-3.9835669060410025E-24","3.2541495025526901E+0","2.5179692346398678E+1","1.1161285919787923E+2","1.9497902028031000E+0","1.215058560962404E-2"
"997","3.6215067831044081E+0","1.8176488926787150E-23","1.7957361125594546E-23","1.0093128206244253E-15","-3.2272601263867564E+0","-1.2075245887701867E-24","3.2530524426920202E+0","2.5179792278624205E+1","1.1161330216283937E+2","1.9557449306716399E+0","1.215058560962404E-2"
"996","3.6233161100779960E+0","1.3735038271747467E-23","1.4724789557116030E-24","9.7239061620717639E-15","-3.2294176553967064E+0","6.9295523311340463E-25","3.2519532881753102E+0","2.5179891448933819E+1","1.1161374175049006E+2","1.9617159418959100E+0","1.215058560962404E-2"
"995","3.6251254238793225E+0","1.3571944214541739E-23","-2.4818556551553461E-23","1.1475709182842681E-14","-3.2315751100629213E+0","8.1307697364424150E-25","3.2508520360398099E+0","2.5179989853882887E+1","1.1161417794556243E+2","1.9677031815182300E+0","1.215058560962404E-2"
"994","3.6269347248142241E+0","1.4529570655902044E-23","-2.4179631443381557E-23","-1.0589458088022384E-14","-3.2337324912424399E+0","2.4575158099879297E-24","3.2497486833083200E+0","2.5180087490065485E+1","1.1161461073295914E+2","1.9737065944287200E+0","1.215058560962404E-2"
"993","3.6287440131795798E+0","1.6217326381596983E-23","2.3638823412464701E-23","-7.2814287874444134E-14","-3.2358897997831968E+0","-2.4841017852819065E-24","3.2486432269895902E+0","2.5180184354111464E+1","1.1161504009774156E+2","1.9797261251801901E+0","1.215058560962404E-2"
"992","3.6305532892620773E+0","2.0220454638059774E-23","-1.1714606481333565E-23","-6.5974918115503316E-14","-3.2380470365227350E+0","-1.0926079680276330E-24","3.2475356640778701E+0","2.5180280442689376E+1","1.1161546602514247E+2","1.9857617180795799E+0","1.215058560962404E-2"
"991","3.6323625533384916E+0","1.8231797834448689E-23","5.0269054881745115E-23","-4.5622218338798269E-14","-3.2402042022884472E+0","-1.7472768000711080E-24","3.2464259915534002E+0","2.5180375752505665E+1","1.1161588850056269E+2","1.9918133171601300E+0","1.215058560962404E-2"
"990","3.6341718056759165E+0","1.9206164134462709E-23","1.0688278802237084E-23","-4.2237262334818966E-14","-3.2423612978978613E+0","2.0349108242207660E-25","3.2453142063822402E+0","2.5180470280304224E+1","1.1161630750956908E+2","1.9978808661695999E+0","1.215058560962404E-2"
"989","3.6359810465317906E+0","2.2621142633280385E-23","-3.0819771637855906E-23","-4.4729965053948294E-14","-3.2445183241586508E+0","2.8312954244585191E-24","3.2442003055163502E+0","2.5180564022865713E+1","1.1161672303789136E+2","2.0039643086320602E+0","1.215058560962404E-2"
"988","3.6377902761533463E+0","2.6880759475660054E-23","2.0950884770231850E-23","-7.9012259425248521E-14","-3.2466752818680069E+0","-3.6614010488923747E-24","3.2430842858938500E+0","2.5180656977009690E+1","1.1161713507143175E+2","2.0100635877995798E+0","1.215058560962404E-2"
"987","3.6395994947783068E+0","2.8128369025692689E-23","3.4019627560710121E-23","-8.4426434590708573E-14","-3.2488321718134205E+0","-3.2092240097192876E-24","3.2419661444389201E+0","2.5180749139592326E+1","1.1161754359625476E+2","2.0161786465922602E+0","1.215058560962404E-2"
"986","3.6414087026339472E+0","3.3246834562553756E-23","5.1570016602548215E-24","-1.6631834792909957E-14","-3.2509889947717419E+0","3.7478016504416844E-24","3.2408458780611902E+0","2.5180840507508613E+1","1.1161794859859694E+2","2.0223094276892501E+0","1.215058560962404E-2"
