"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1058","9.8331427201634314E-1","9.9866097041083321E-22","-9.2170512047975563E-33","5.8497022220607006E-14","2.3109213147030476E+0","-5.2820000949905319E-29","2.9696635424712401E+0","1.6575208456596783E+1","7.3472160906137148E+1","4.5131388749035601E+1","1.215058560962404E-2"
"1057","9.8330656255655458E-1","9.9867091138253607E-22","6.6915665372406091E-120","7.6626963116442378E-14","2.3089576116437929E+0","-1.2531707436452394E-116","2.9696423098357201E+0","1.6575105657106015E+1","7.3471705231582803E+1","4.5180429270428100E+1","1.215058560962404E-2"
"1056","9.8327163190220546E-1","9.9867099339388465E-22","-5.5639806487838441E-111","1.3516629161057388E-13","2.3001227037460468E+0","4.0709256275046677E-107","2.9695462051922998E+0","1.6574641352005269E+1","7.3469647127809267E+1","4.5404935254464498E+1","1.215058560962404E-2"
"1055","9.8323630749305946E-1","9.9865679615501717E-22","-6.0842572140494609E-66","7.4407559650979631E-14","2.2912907090030519E+0","4.3744893658747173E-62","2.9694491803654999E+0","1.6574174253360884E+1","7.3467576641223886E+1","4.5639745944419097E+1","1.215058560962404E-2"
"1054","9.8320058363535490E-1","9.9863952923840991E-22","2.2339339129623208E-76","1.8321750947138964E-13","2.2824616821729653E+0","-3.8318334432211847E-72","2.9693512252071401E+0","1.6573704362070629E+1","7.3465493775806152E+1","4.5866542126432698E+1","1.215058560962404E-2"
"1053","9.8316445453840984E-1","9.9865588384764338E-22","-6.1696632133065153E-77","2.0389367207128985E-13","2.2736356791171546E+0","-3.7822963803891630E-73","2.9692523294359598E+0","1.6573231679539038E+1","7.3463398537781870E+1","4.6091001974836402E+1","1.215058560962404E-2"
"1052","9.8312791431282676E-1","9.9864879704618955E-22","-1.1518167263464557E-130","3.7714375280945684E-13","2.2648127568239729E+0","5.5130191967734421E-127","2.9691524826402200E+0","1.6572756207692727E+1","7.3461290935691082E+1","4.6327491004320898E+1","1.215058560962404E-2"
"1051","9.8309095696865612E-1","9.9861652336473250E-22","4.6400793276621588E-55","1.7640228554615622E-13","2.2559929734318871E+0","-5.5393717460368725E-51","2.9690516742761699E+0","1.6572277948999783E+1","7.3459170980473942E+1","4.6559002389281297E+1","1.215058560962404E-2"
"1050","9.8305357641352675E-1","9.9856737565130361E-22","1.8441531770302878E-184","9.0640489441984086E-14","2.2471763882541693E+0","-4.2670761283346355E-181","2.9689498936622800E+0","1.6571796906486256E+1","7.3457038685543893E+1","4.6796915069578603E+1","1.215058560962404E-2"
"1049","9.8301576645075006E-1","9.9854318240617958E-22","7.3734583848771853E-87","4.7787283443451942E-14","2.2383630618038017E+0","-2.3086092021124925E-83","2.9688471299829300E+0","1.6571313083753978E+1","7.3454894066866601E+1","4.7027141983197801E+1","1.215058560962404E-2"
