"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1028","7.1145870628734942E-1","4.4057453963040257E-22","1.8677513053236381E-25","-1.1516767259303912E-14","5.1514806808487890E-1","-1.0604267268442945E-24","3.0590584343859999E+0","1.0628254513150143E+1","4.7111372854605769E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1027","7.1128295756403603E-1","4.4893898998452606E-22","3.8052489968910109E-25","-6.2810962141188756E-15","5.1549525312951172E-1","-2.6059902067248568E-25","3.0590579933465700E+0","1.0630395811086592E+1","4.7120864487060750E+1","1.0000000017564099E+0","1.215058560962404E-2"
"1026","7.1104707039222570E-1","4.0452269981286672E-22","6.2367500322656655E-25","-6.2673393876078258E-15","5.1596269693574615E-1","2.7481598960477248E-25","3.0590562337854399E+0","1.0633291498659206E+1","4.7133700067610235E+1","1.0000000009355601E+0","1.215058560962404E-2"
"1025","7.1080939961419121E-1","4.1394594135106465E-22","4.9720922702183427E-25","-1.0267724277059320E-14","5.1643534020239101E-1","4.5318180260286378E-25","3.0590531286330300E+0","1.0636233790935318E+1","4.7146742230676203E+1","1.0000000002858700E+0","1.215058560962404E-2"
"1024","7.1056993901567089E-1","4.5703874254261929E-22","7.2383789917985300E-25","-8.2459393287602532E-15","5.1691320632799986E-1","-1.0917540245569873E-24","3.0590486706597799E+0","1.0639222874393791E+1","4.7159991802854904E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1023","7.1032868256288950E-1","4.5746225901626050E-22","4.4857185417307497E-25","-3.2283960134648389E-15","5.1739631822874310E-1","-6.6857615282412403E-25","3.0590428527552498E+0","1.0642258927374506E+1","4.7173449574665305E+1","1.0000000004536000E+0","1.215058560962404E-2"
"1022","7.1008562441003598E-1","4.4396267141940134E-22","-3.8545381230663231E-25","-1.0609422853482740E-14","5.1788469831606387E-1","8.4162743917787653E-25","3.0590356679347801E+0","1.0645342119750186E+1","4.7187116299094363E+1","1.0000000003199900E+0","1.215058560962404E-2"
"1021","7.0984075890675769E-1","4.7075008837629904E-22","1.3577064114529988E-25","-9.5968816129977262E-15","5.1837836847433660E-1","-5.5529995270987070E-25","3.0590271093458501E+0","1.0648472612598011E+1","4.7200992690141469E+1","1.0000000001249001E+0","1.215058560962404E-2"
"1020","7.0959408060586238E-1","4.6630316540322283E-22","5.7938074506566111E-25","-6.3077489354100367E-15","5.1887735003785340E-1","-1.7007097713384271E-24","3.0590171702748901E+0","1.0651650557863709E+1","4.7215079421329413E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1019","7.1349076586418603E-1","2.6396817012789382E-22","-3.7925474547225206E-25","-5.3594407422516757E-15","5.1120508077015991E-1","2.0626483763915870E-25","3.0590061824107901E+0","1.0604562208573753E+1","4.7006353070472620E+1","1.3304551282947501E+0","1.215058560962404E-2"
"1018","7.1370791350199270E-1","2.2632814353426814E-22","4.4844372301683986E-25","-5.4276856870467024E-15","5.1079194369925740E-1","-5.8680174333479186E-25","3.0589939597707501E+0","1.0602153852446820E+1","4.6995677661512268E+1","1.3692886380016500E+0","1.215058560962404E-2"
"1017","7.1392336161147740E-1","2.3538080815802399E-22","1.0066976961088056E-25","-4.4975208267110713E-15","5.1038370229440821E-1","-1.0857908500999827E-25","3.0589804833300800E+0","1.0599789408049475E+1","4.6985196898047342E+1","1.4084960480586499E+0","1.215058560962404E-2"
"1016","7.1413711809208347E-1","2.3066918738891600E-22","2.0101059828357256E-25","-6.6671512077205557E-15","5.0998032882486388E-1","-8.2383927538131295E-25","3.0589657613183698E+0","1.0597468612150502E+1","4.6974909613265005E+1","1.4480779617001600E+0","1.215058560962404E-2"
"1015","7.1434919093103144E-1","2.4633929691313519E-22","5.6685522519036799E-26","-6.3159260993865660E-15","5.0958179535001480E-1","5.7228652096723499E-25","3.0589498020070498E+0","1.0595191197448667E+1","4.6964814622311415E+1","1.4880349785727700E+0","1.215058560962404E-2"
"1014","7.1455958819753862E-1","2.7625014786307963E-22","3.2411885806963760E-25","-7.2633941041266071E-15","5.0918807373619668E-1","1.0145235264892870E-24","3.0589326137047301E+0","1.0592956892827084E+1","4.6954910723419275E+1","1.5283676957358101E+0","1.215058560962404E-2"
"1013","7.0788121136756077E-1","5.9960497547736988E-22","-4.6118965994092301E-25","-9.2987248368188692E-15","5.2238591812190971E-1","1.3448045602443406E-24","3.0589134896696901E+0","1.0674352625565577E+1","4.7315709828208533E+1","1.0000000002263101E+0","1.215058560962404E-2"
"1012","7.0762032385168494E-1","5.9118758556404876E-22","-5.8794313444964278E-25","-8.6911351683085792E-15","5.2292671899546184E-1","1.1354792118268201E-24","3.0588926415448898E+0","1.0677902373419956E+1","4.7331444631557531E+1","1.0000000002255300E+0","1.215058560962404E-2"
"1011","7.0735758571656349E-1","6.3396274940036647E-22","-5.0053465319553581E-25","-4.5021975816715609E-15","5.2347299094919741E-1","-9.7516284834083652E-25","3.0588703611605399E+0","1.0681500462395496E+1","4.7347393714361388E+1","1.0000000001397400E+0","1.215058560962404E-2"
"1010","7.0709299389916624E-1","6.3613327132771447E-22","-9.8197161598995279E-26","-9.9808139789264240E-15","5.2402474873803939E-1","-9.0801005440401403E-25","3.0588466435165298E+0","1.0685146937818846E+1","4.7363557277537453E+1","1.0000000001559699E+0","1.215058560962404E-2"
"1009","7.1563700977750699E-1","3.0790800426670680E-22","6.3761529835935003E-26","-5.3682592043940621E-15","5.0719885106096319E-1","1.2584120779341940E-24","3.0588225437731600E+0","1.0581923044070875E+1","4.6906001491698113E+1","1.7463017329396400E+0","1.215058560962404E-2"
"1008","7.1583712184523618E-1","3.0854327897714454E-22","-2.3780953191656148E-25","-4.1757513124367162E-15","5.0683455645242570E-1","6.7579780843658471E-25","3.0587978642006100E+0","1.0579951832265758E+1","4.6897263792181100E+1","1.7889959323165900E+0","1.215058560962404E-2"
"1007","7.1603561879092759E-1","2.9123204311765894E-22","-2.1592851522098305E-25","-5.7456431399948861E-15","5.0647486541613018E-1","-9.4313241007214899E-25","3.0587720165869001E+0","1.0578021672949175E+1","4.6888708064133773E+1","1.8320700816867901E+0","1.215058560962404E-2"
"1006","7.0608422128528148E-1","6.8219068783468234E-22","-8.3380262732544621E-26","-8.4265111572856988E-15","5.2614292713209798E-1","-3.5452857630321343E-25","3.0587448226540399E+0","1.0699252564751221E+1","4.7426082638492716E+1","1.0000000001899900E+0","1.215058560962404E-2"
"1005","7.0581079163734894E-1","6.4640354581321288E-22","4.7414577109612821E-25","-9.1734950765006341E-15","5.2672091890086503E-1","-1.2896338774415791E-24","3.0587142164920800E+0","1.0703129094827622E+1","4.7443265954302987E+1","1.0000000001466900E+0","1.215058560962404E-2"
"1004","7.0553549646353919E-1","6.2268662329017783E-22","-1.1691310655267462E-25","-1.0134733631798314E-14","5.2730446512716833E-1","1.0676367140657423E-24","3.0586821486674398E+0","1.0707054015460299E+1","4.7460663768696875E+1","1.0000000000263201E+0","1.215058560962404E-2"
"1003","7.1686141126324743E-1","2.7482077976458569E-22","6.0572212504188124E-25","-5.9327235312768566E-15","5.0499685886689250E-1","-1.8662571705760268E-24","3.0586493297508399E+0","1.0570269631157705E+1","4.6854345946556464E+1","2.0193874026318301E+0","1.215058560962404E-2"
"1002","7.1705156969136397E-1","2.7392080725813122E-22","-3.4618153236855098E-25","-7.4249070856997330E-15","5.0466085740659949E-1","-9.8770967612725535E-25","3.0586174885755799E+0","1.0568550142609043E+1","4.6846724049091073E+1","2.0644657042757899E+0","1.215058560962404E-2"
