"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1092","9.7938798181220965E-1","5.3208038378429485E-21","-2.8405967924414430E-33","-4.3489087523384541E-14","1.7100463774529140E+0","-1.5653025715662640E-30","2.8994934732988602E+0","1.0421125439929638E+1","4.6193241379164853E+1","1.8026212921099101E+0","1.215058560962404E-2"
"1091","9.7934839570537047E-1","5.3208345012911013E-21","4.7674465611581973E-33","-3.4433029114106788E-14","1.7061321702605323E+0","2.6242300125045141E-30","2.8994933097462998E+0","1.0421753948676356E+1","4.6196027340855203E+1","1.7999315589496201E+0","1.215058560962404E-2"
"1090","9.7947606459279535E-1","5.3208420464178560E-21","4.7635937053854377E-45","-6.5604224404015822E-14","1.7188563054172721E+0","5.4552549216165129E-42","2.8994923325236401E+0","1.0419715517775517E+1","4.6186991682357480E+1","1.8086771459578901E+0","1.215058560962404E-2"
"1089","9.7923811869323196E-1","5.3208329502255411E-21","-4.6083698493972942E-33","-8.5359592919456462E-14","1.6953723889860839E+0","-2.5728377756447560E-30","2.8994906951019499E+0","1.0423488382926928E+1","4.6203715487443098E+1","1.7925408436103301E+0","1.215058560962404E-2"
"1088","9.7958189966615483E-1","5.3208046109948459E-21","2.6577067691847882E-33","-1.1060923533609878E-13","1.7296294203907010E+0","1.2185238387516517E-30","2.8994881498085099E+0","1.0418000115283689E+1","4.6179387896967484E+1","2.0873422986444301E+0","1.215058560962404E-2"
"1087","9.7912572578767676E-1","5.3208150111337490E-21","1.9193339517111843E-33","-8.8146082502056343E-14","1.6846190809880717E+0","1.1590727887808482E-30","2.8994848451979300E+0","1.0425231800218315E+1","4.6211443452741079E+1","1.7851594184756501E+0","1.215058560962404E-2"
"1086","9.7968577576766214E-1","5.3208307191822299E-21","4.4687446304066229E-33","-4.8135565519524374E-14","1.7404083053656705E+0","3.2424535246528168E-30","2.8994809675259399E+0","1.0416293188339695E+1","4.6171821680746881E+1","2.6728902476727798E+0","1.215058560962404E-2"
"1085","9.7974162645220808E-1","5.3208359287012161E-21","5.2971595804692448E-33","1.0416731825444471E-14","1.7462900564830544E+0","5.2216655246577408E-30","2.8994758109016501E+0","1.0415365656538782E+1","4.6167710253376256E+1","2.9916926861484399E+0","1.215058560962404E-2"
"1084","9.7895836019800342E-1","5.3207580090478222E-21","3.2299866429910184E-33","-2.9977643820027516E-14","1.6689899599255464E+0","1.1754161099182968E-30","2.8994704004693701E+0","1.0427784070791072E+1","4.6222756784617935E+1","1.7744408274652801E+0","1.215058560962404E-2"
"1083","9.7984256601184017E-1","5.3208694490936050E-21","1.0991033810661626E-33","-8.4742266561691062E-14","1.7570774638978446E+0","7.5727565413306114E-31","2.8994641309103701E+0","1.0413671539287790E+1","4.6160200818090139E+1","3.5784457756062502E+0","1.215058560962404E-2"
"1082","9.7989684428330459E-1","5.3209010519695745E-21","4.6869601956176743E-46","-6.0447576340624325E-14","1.7629637379053187E+0","3.9993058171830279E-42","2.8994565656718398E+0","1.0412750902100539E+1","4.6156119952155031E+1","3.8961920978994500E+0","1.215058560962404E-2"
"1081","9.7878624037731865E-1","5.3207885936123483E-21","1.1700294794899596E-44","-2.8191954028801570E-14","1.6533758301222159E+0","-2.1887581363521480E-41","2.8994486992190698E+0","1.0430356265579663E+1","4.6234158433646009E+1","2.0742900419155901E+0","1.215058560962404E-2"
"1080","9.7873145068418033E-1","5.3208069386471816E-21","3.1928424486122160E-56","-8.8943108930376487E-14","1.6484996192581554E+0","5.8319908682736813E-53","2.8994403893130900E+0","1.0431164253920377E+1","4.6237739966242394E+1","2.3414310982178801E+0","1.215058560962404E-2"
"1079","9.8004771620070064E-1","5.3209004139244568E-21","3.7792407865165478E-33","-4.7514755451977288E-14","1.7796497724794578E+0","3.1550463978330174E-30","2.8994306631527502E+0","1.0410155340652553E+1","4.6144614726815178E+1","4.7986219461601696E+0","1.215058560962404E-2"
"1078","9.8009995694679941E-1","5.3208906790273210E-21","3.8164011016819174E-33","-6.4514504033716639E-14","1.7855417877116322E+0","4.4530991062257095E-30","2.8994199768392099E+0","1.0409243751136264E+1","4.6140573966073227E+1","5.1163799085069996E+0","1.215058560962404E-2"
"1077","9.7855282620896655E-1","5.3208085175414538E-21","-1.4096351930908248E-33","-5.4773091063807849E-14","1.6329064387519461E+0","-1.9874047254324150E-30","2.8994087751138502E+0","1.0433763490340167E+1","4.6249261481460017E+1","3.1968587867332898E+0","1.215058560962404E-2"
"1076","9.7849595524197730E-1","5.3207809108875762E-21","5.8478434189989618E-33","-6.1106153600101393E-14","1.6280370123063630E+0","4.0139870789054197E-30","2.8993972964914700E+0","1.0434580094309668E+1","4.6252881204156168E+1","3.4643343722644699E+0","1.215058560962404E-2"
